CART_ID,ORDER,WIP_ID,ACTION,COMPLETE_TIME
C01,1,W01,PICKUP,0
C01,2,W01,DELIVERY,7
C01,3,W03,PICKUP,25
C01,4,W03,DELIVERY,40
C02,1,W07,PICKUP,3
C02,2,W02,PICKUP,19
C02,3,W07,DELIVERY,33
C02,4,W02,DELIVERY,36
C03,1,W04,PICKUP,23
C03,2,W05,PICKUP,40
C03,3,W04,DELIVERY,50
C03,4,W05,DELIVERY,70
C04,1,W10,PICKUP,20
C04,2,W06,PICKUP,27
C04,3,W10,DELIVERY,37
C04,4,W06,DELIVERY,52
C05,1,W08,PICKUP,18
C05,2,W09,PICKUP,23
C05,3,W08,DELIVERY,46
C05,4,W09,DELIVERY,51
